,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kapaa,20,US,1572136845,74,22.08,-159.32,84.2,6.93
1,Buala,6,SB,1572136708,68,-8.15,159.59,84.29,5.23
2,Nikolskoye,40,RU,1572136866,100,59.7,30.79,44.01,8.95
3,Vao,100,EE,1572137209,87,59.1,26.19,43.68,5.73
4,Vestmannaeyjar,4,IS,1572137011,62,63.44,-20.27,34.18,10.29
5,Alofi,100,NU,1572136963,74,-19.06,-169.92,78.8,16.11
6,Rikitea,58,PF,1572136839,82,-23.12,-134.97,71.62,25.21
7,Grand Gaube,40,MU,1572137213,88,-20.01,57.66,70.0,4.92
8,Cape Town,10,ZA,1572136897,86,-33.93,18.42,60.01,3.0
9,Mataura,73,NZ,1572136892,87,-46.19,168.86,55.99,4.0
10,Thompson,90,CA,1572136882,96,55.74,-97.86,32.0,13.87
11,Bluff,61,AU,1572136900,45,-23.58,149.07,80.35,5.44
12,Brainerd,1,US,1572137219,49,46.36,-94.2,50.0,3.36
13,Quatre Cocos,40,MU,1572137220,88,-20.21,57.76,70.0,9.08
14,Ola,100,RU,1572137007,94,59.58,151.3,37.71,14.34
15,Ushuaia,100,AR,1572136854,95,-54.81,-68.31,33.93,4.36
16,Ayan,67,IR,1572136765,80,38.23,44.7,40.19,1.77
17,Khatanga,83,RU,1572137042,89,71.98,102.47,3.25,3.71
18,Yellowknife,75,CA,1572136628,73,62.45,-114.38,24.8,5.82
19,Qaanaaq,100,GL,1572136842,75,77.48,-69.36,15.3,4.85
20,Busselton,0,AU,1572136912,57,-33.64,115.35,73.0,5.99
21,Hobart,75,AU,1572136641,44,-42.88,147.33,60.01,13.87
22,Virginia Beach,75,US,1572137220,88,36.85,-75.98,68.0,16.64
23,Novosysoyevka,0,RU,1572137231,74,44.23,133.36,34.23,2.62
24,Voh,0,NC,1572137232,69,-20.95,164.69,72.27,15.5
25,Klaksvik,100,FO,1572137130,81,62.23,-6.59,42.8,32.21
26,Saint-Philippe,1,CA,1572136973,60,45.36,-73.48,46.0,5.82
27,Carnarvon,55,ZA,1572136877,49,-30.97,22.13,56.68,6.78
28,Tuktoyaktuk,90,CA,1572136830,79,69.44,-133.03,28.4,19.46
29,Codrington,90,AU,1572137031,50,-28.95,153.24,78.8,14.99
30,Ust-Maya,51,RU,1572137239,94,60.42,134.54,13.46,2.35
31,San Felipe,100,CL,1572137240,59,-32.75,-70.73,66.0,0.87
32,Saint George,0,GR,1572137241,76,39.45,22.34,55.4,1.45
33,Albany,75,US,1572136801,70,42.65,-73.75,46.99,4.47
34,Corpus Christi,1,US,1572136971,49,27.8,-97.4,69.8,3.36
35,Vanavara,100,RU,1572136687,84,60.35,102.28,15.35,11.74
36,Mar del Plata,50,AR,1572136898,25,-46.43,-67.52,58.51,25.23
37,Barrow,67,AR,1572136949,85,-38.31,-60.23,60.82,13.27
38,Vaini,75,IN,1572136875,94,15.34,74.49,68.0,9.17
39,East London,92,ZA,1572136829,83,-33.02,27.91,66.99,13.38
40,Hulyaypole,0,UA,1572137250,76,47.67,36.26,49.05,2.28
41,Hermanus,0,ZA,1572137044,85,-34.42,19.24,57.0,4.0
42,Avarua,100,CK,1572136840,83,-21.21,-159.78,71.6,6.93
43,Maceio,20,BR,1572137254,94,-9.67,-35.74,73.4,4.7
44,Progreso,40,UY,1572137255,68,-34.68,-56.22,71.01,5.82
45,New Norfolk,75,AU,1572136861,44,-42.78,147.06,60.01,13.87
46,Ulcinj,0,ME,1572137257,66,41.93,19.22,53.6,2.24
47,Riyadh,13,SA,1572137011,31,24.63,46.72,75.2,3.36
48,Castro,75,CL,1572136960,87,-42.48,-73.76,44.6,8.05
49,Padang,69,ID,1572137261,95,-0.92,100.36,68.52,1.34
50,Dikson,78,RU,1572136864,89,73.51,80.55,6.08,6.24
51,Ilulissat,25,GL,1572137166,39,69.22,-51.1,28.4,6.93
52,Tasiilaq,90,GL,1572136917,62,65.61,-37.64,24.8,9.17
53,Kaitangata,92,NZ,1572136853,94,-46.28,169.85,49.95,32.32
54,Port Stanley,90,CA,1572137107,93,42.67,-81.22,46.99,18.34
55,Hirara,40,JP,1572137267,73,24.8,125.28,78.8,4.7
56,Banikoara,17,BJ,1572137268,77,11.3,2.44,76.8,5.08
57,Meulaboh,100,ID,1572136906,84,4.14,96.13,78.26,5.41
58,Hirado,20,JP,1572137109,63,33.32,129.49,64.4,9.17
59,San Patricio,6,PY,1572137272,58,-26.98,-56.83,80.06,6.2
60,Dingle,91,PH,1572137152,81,11.0,122.67,80.19,13.11
61,Ust-Kuyga,94,RU,1572137274,96,70.0,135.55,-0.17,4.65
62,Chuy,0,UY,1572137275,66,-33.69,-53.46,63.75,9.84
63,Ampanihy,27,MG,1572137276,72,-24.69,44.75,72.43,8.01
64,Taoudenni,17,ML,1572137164,20,22.68,-3.98,74.41,8.93
65,Bredasdorp,67,ZA,1572136874,87,-34.53,20.04,53.6,4.7
66,Kachiry,53,KZ,1572137280,86,53.07,76.1,41.9,15.86
67,Saskylakh,49,RU,1572137121,96,71.97,114.09,-2.3,8.08
68,Port Blair,40,IN,1572136919,100,11.67,92.75,77.0,2.24
69,Rocha,0,UY,1572137283,80,-34.48,-54.34,60.42,6.87
70,Vigrestad,75,NO,1572137284,86,58.57,5.7,46.0,6.93
71,Ippy,100,CF,1572137285,97,6.26,21.2,69.73,1.14
72,Acapulco,75,MX,1572137076,78,16.86,-99.88,82.4,4.7
73,Lebu,20,ET,1572136763,50,8.96,38.73,55.4,2.24
74,Husavik,97,CA,1572137289,77,50.56,-96.99,39.99,8.01
75,Esperance,60,AU,1572137127,68,-33.86,121.89,64.4,12.75
76,Jamestown,4,AU,1572136871,48,-33.21,138.6,57.47,8.63
77,Tiksi,97,RU,1572137292,92,71.64,128.87,7.65,3.04
78,Jumla,0,NP,1572137000,30,29.28,82.18,36.09,5.19
79,Saint-Francois,100,FR,1572137294,76,46.42,3.91,57.0,2.44
80,Tautira,20,PF,1572137295,58,-17.73,-149.15,86.0,13.87
81,Nawalapitiya,100,LK,1572137297,89,7.06,80.53,65.46,4.5
82,Foldeak,0,HU,1572137298,81,46.32,20.5,50.0,4.7
83,Mahebourg,40,MU,1572136690,88,-20.41,57.7,71.01,6.2
84,Bethel,90,US,1572136883,87,60.79,-161.76,42.8,9.17
85,Ahipara,0,NZ,1572137301,78,-35.17,173.16,59.88,11.1
86,Nioro,0,GM,1572137303,60,13.79,-15.05,82.08,7.61
87,Ayagoz,24,KZ,1572136711,87,47.96,80.43,34.65,3.36
88,Shepsi,0,RU,1572137305,74,44.04,39.15,64.47,7.54
89,Mehkar,88,IN,1572137306,95,20.15,76.57,67.89,11.21
90,Souillac,100,FR,1572137307,87,45.6,-0.6,57.2,4.7
91,San Andres,54,PH,1572137091,76,13.32,122.68,81.59,10.31
92,Hambantota,75,LK,1572137309,100,6.12,81.12,75.2,2.24
93,Nanakuli,75,US,1572137310,62,21.39,-158.15,87.8,8.05
94,Chubbuck,90,US,1572137312,86,42.93,-112.47,33.8,7.16
95,Cherskiy,79,RU,1572137094,75,68.75,161.3,9.3,10.96
96,Ponta do Sol,87,BR,1572136847,74,-20.63,-46.0,72.12,2.48
97,Asyut,15,EG,1572137315,73,27.18,31.19,65.12,10.2
98,Daru,97,PG,1572137316,75,-9.07,143.21,81.14,8.37
